Index,Sequence,label,Start_time,End_time,output,conv1,conv2,conv3
3939,94 94 314 314 191 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314,0,2005-07-09-17.36.13.333127,2005-07-09 17:36:14.205524,"5.7197265625,-5.29071044921875","0.0,5.0718994140625,0.841306746006012,0.0,6.304759502410889,3.098686933517456,3.22408127784729,1.6156108379364014,0.0,2.9085001945495605,0.0,3.790757179260254,0.0,4.705175876617432,3.549020290374756,0.0","0.0,0.0,0.0,0.0,3.049503803253174,0.0,0.0,3.357348680496216,0.0,2.928828477859497,0.0,0.0,5.488103866577148,6.590241432189941,0.0,5.182924270629883","0.0,4.739816665649414,0.0,0.0,7.428782939910889,3.3229026794433594,0.0,0.0,7.795347213745117,0.0,4.117107391357422,0.0,1.175609827041626,3.470851421356201,5.661248683929443,4.140296936035156"
8406,118 118 118 118 118 118 118 118,0,2005-09-03-06.33.13.312482,2005-09-03 06:33:13.619214,"6.015870094299316,-5.537240028381348","0.0,4.994629859924316,0.5726571679115295,0.0,6.580574989318848,3.141472101211548,3.475407361984253,1.689831018447876,0.0,3.1787497997283936,0.0,4.0311598777771,0.0,5.258883953094482,3.472972869873047,0.0","0.0,0.0,0.0,0.0,3.0382277965545654,0.0,0.0,3.5658035278320312,0.0,2.8303089141845703,0.0,0.0,5.776688575744629,7.261617183685303,0.0,5.605162143707275","0.0,5.130070686340332,0.0,0.0,7.771749496459961,3.6175143718719482,0.0,0.0,8.564695358276367,0.0,4.3828558921813965,0.0,0.9364176392555237,3.7104809284210205,6.2774248123168945,4.155723571777344"
8700,276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276,1,2005-09-08-11.05.26.552176,2005-09-08 11:05:38.151489,"-5.643042087554932,3.924126625061035","2.197317600250244,0.0,0.009685990400612354,2.7137694358825684,0.0,0.0,0.0,0.0,0.8298445343971252,0.0,2.974107027053833,0.10704291611909866,2.986626148223877,0.0,0.0,5.012050628662109","3.632035493850708,5.250053882598877,6.149224758148193,2.0801308155059814,0.0,6.457479000091553,5.499148845672607,0.0,4.425021171569824,0.0,2.632080554962158,8.00672721862793,0.0,0.17509330809116364,2.742216110229492,0.0","2.5265274047851562,0.0,3.682602643966675,0.0,1.3361282348632812,0.0,2.5253143310546875,0.0,0.0,0.6766305565834045,0.0,0.0,0.0,0.0,0.0,0.0"
8841,99 94 94 94 314 314 314 191 191 191,0,2005-09-11-11.56.00.052862,2005-09-11 11:56:01.170480,"6.398439407348633,-5.900922775268555","0.0,5.646095275878906,0.8246721625328064,0.0,7.459958553314209,3.5410914421081543,3.6481053829193115,1.8564410209655762,0.0,3.460115909576416,0.0,4.173399448394775,0.0,5.775856018066406,3.4274282455444336,0.0","0.0,0.0,0.0,0.0,2.8747591972351074,0.0,0.0,3.728760004043579,0.0,2.6263482570648193,0.0,0.0,6.085721969604492,7.9590864181518555,0.0,6.349477291107178","0.0,5.590466499328613,0.0,0.0,8.221132278442383,3.7552454471588135,0.0,0.0,9.203243255615234,0.0,4.703294277191162,0.0,1.145056128501892,3.7856202125549316,6.744687080383301,4.406435012817383"
8294,259 167 259 167 259 167 45 45 259 167 45 45 259 167 259 167 259 167 259 167 45 45 259 167 259 259 259 259 167 259 167 167 167 167 259 167 259 167 259 167 45 45 259 167 259 167 45 45 45 45 45 45 259 167 259 167 45 45 259 167 45 45,0,2005-09-02-15.49.27.975053,2005-09-02 15:50:01.085932,"5.616611480712891,-5.217734336853027","0.0,5.118009090423584,0.6145241260528564,0.0,6.5657172203063965,3.08648681640625,3.2498202323913574,1.569692611694336,0.0,2.742326021194458,0.0,3.5424818992614746,0.0,4.6838202476501465,3.5399789810180664,0.0","0.0,0.0,0.0,0.0,3.0102059841156006,0.0,0.0,3.438685178756714,0.0,2.7687251567840576,0.0,0.0,5.877645492553711,6.387966156005859,0.0,5.480746269226074","0.0,5.1725358963012695,0.0,0.0,5.936805248260498,3.2669997215270996,0.0,0.0,8.223377227783203,0.0,4.361794948577881,0.0,0.9759751558303833,2.844421148300171,5.441037654876709,4.1601176261901855"
8698,276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276,1,2005-09-08-10.26.46.603822,2005-09-08 10:26:50.768061,"-5.692512512207031,3.966958522796631","2.197356939315796,0.0,0.0,2.7138099670410156,0.0,0.0,0.0,0.0,0.8298445343971252,0.0,2.96219801902771,0.0,2.986708164215088,0.0,0.0,5.0122528076171875","3.533602714538574,5.250320911407471,6.149456977844238,2.0803048610687256,0.0,6.457988262176514,5.499523162841797,0.0,4.425166606903076,0.0,2.632080554962158,8.007068634033203,0.0,0.0,2.7422335147857666,0.0","2.5265274047851562,0.0,3.6828343868255615,0.0,0.0,0.0,2.5253491401672363,0.0,0.0,0.6766305565834045,0.0,0.0,0.0,0.0,0.0,0.0"
8492,79 79 79 188 188 188 79 188,0,2005-09-04-17.12.13.374526,2005-09-04 17:12:14.070669,"0.8382002115249634,-1.1892348527908325","0.0,1.1341701745986938,0.5327153205871582,0.25792577862739563,1.8432539701461792,0.7017770409584045,0.0,0.0,0.0,0.6584206223487854,0.7607820630073547,1.5967159271240234,0.25039929151535034,2.265648365020752,0.0,0.7891845703125","0.6152238249778748,1.0372599363327026,1.2212454080581665,0.0,0.3105758726596832,0.0,0.0,0.77220618724823,0.9064282178878784,0.0,0.0,0.0,0.3467700481414795,2.704634666442871,0.0,1.3480099439620972","0.0,0.9908429384231567,0.0,0.0,4.099185466766357,0.512171745300293,0.0,0.0,2.6247806549072266,0.0,1.2076116800308228,0.0,0.0,0.7316498160362244,1.256500482559204,1.3503938913345337"
1725,208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208,0,2005-06-14-22.39.14.420683,2005-06-14 22:39:50.099452,"3.1223628520965576,-3.3220221996307373","0.0,2.937291145324707,1.105194091796875,0.0,3.4501614570617676,1.8112705945968628,1.5229873657226562,0.690284788608551,0.0,1.4309604167938232,0.0,2.333984375,0.0,3.2021563053131104,1.9433238506317139,0.0","0.0,0.0,0.0,0.0,1.6780779361724854,0.0,0.0,1.8392601013183594,0.0,0.7556156516075134,0.0,0.0,3.0128533840179443,4.407777786254883,0.0,3.3550660610198975","0.0,2.8456521034240723,0.0,0.0,4.8943891525268555,1.8340849876403809,0.0,0.0,5.219708442687988,0.0,2.4541664123535156,0.0,0.20374053716659546,1.5400516986846924,3.001727342605591,2.8834691047668457"
8489,276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276,1,2005-09-04-15.18.54.718882,2005-09-04 15:19:25.881585,"-5.692512512207031,3.966958522796631","2.197356939315796,0.0,0.0,2.7138099670410156,0.0,0.0,0.0,0.0,0.8298445343971252,0.0,2.96219801902771,0.0,2.986708164215088,0.0,0.0,5.0122528076171875","3.533602714538574,5.250320911407471,6.149456977844238,2.0803048610687256,0.0,6.457988262176514,5.499523162841797,0.0,4.425166606903076,0.0,2.632080554962158,8.007068634033203,0.0,0.0,2.7422335147857666,0.0","2.5265274047851562,0.0,3.6828343868255615,0.0,0.0,0.0,2.5253491401672363,0.0,0.0,0.6766305565834045,0.0,0.0,0.0,0.0,0.0,0.0"
3672,94 94 314 314 94 94 191 99 191 94 314 314 218 94 314 191 191 314 191 191,0,2005-07-08-16.33.22.748364,2005-07-08 16:33:23.993999,"6.3880391120910645,-5.895227909088135","0.0,5.404874801635742,0.915119469165802,0.0,7.083971977233887,3.4226410388946533,3.448298454284668,1.9439752101898193,0.0,3.4865565299987793,0.0,4.267463207244873,0.0,5.826174259185791,3.5677428245544434,0.0","0.0,0.0,0.0,0.0,3.049503803253174,0.0,0.0,3.6294686794281006,0.0,2.928828477859497,0.0,0.0,6.1201043128967285,8.03999137878418,0.0,6.184194564819336","0.0,5.469972610473633,0.0,0.0,8.296516418457031,3.802691698074341,0.0,0.0,9.211237907409668,0.0,4.7227582931518555,0.0,1.1278854608535767,3.788529634475708,6.621222019195557,4.527801036834717"
8437,276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276,1,2005-09-03-14.38.50.080203,2005-09-03 14:38:51.528995,"-5.692512512207031,3.966958522796631","2.197356939315796,0.0,0.0,2.7138099670410156,0.0,0.0,0.0,0.0,0.8298445343971252,0.0,2.96219801902771,0.0,2.986708164215088,0.0,0.0,5.0122528076171875","3.533602714538574,5.250320911407471,6.149456977844238,2.0803048610687256,0.0,6.457988262176514,5.499523162841797,0.0,4.425166606903076,0.0,2.632080554962158,8.007068634033203,0.0,0.0,2.7422335147857666,0.0","2.5265274047851562,0.0,3.6828343868255615,0.0,0.0,0.0,2.5253491401672363,0.0,0.0,0.6766305565834045,0.0,0.0,0.0,0.0,0.0,0.0"
251,208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208,0,2005-06-06-10.45.14.318724,2005-06-06 10:45:49.953774,"3.1223628520965576,-3.3220221996307373","0.0,2.937291145324707,1.105194091796875,0.0,3.4501614570617676,1.8112705945968628,1.5229873657226562,0.690284788608551,0.0,1.4309604167938232,0.0,2.333984375,0.0,3.2021563053131104,1.9433238506317139,0.0","0.0,0.0,0.0,0.0,1.6780779361724854,0.0,0.0,1.8392601013183594,0.0,0.7556156516075134,0.0,0.0,3.0128533840179443,4.407777786254883,0.0,3.3550660610198975","0.0,2.8456521034240723,0.0,0.0,4.8943891525268555,1.8340849876403809,0.0,0.0,5.219708442687988,0.0,2.4541664123535156,0.0,0.20374053716659546,1.5400516986846924,3.001727342605591,2.8834691047668457"
8538,276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276,1,2005-09-06-05.33.14.256467,2005-09-06 05:33:17.432843,"-5.652545928955078,3.932114601135254","2.197350263595581,0.0,0.007526235654950142,2.7137937545776367,0.0,0.0,0.0,0.0,0.8298445343971252,0.0,2.9747800827026367,0.10616300255060196,2.9866645336151123,0.0,0.0,5.012165069580078","3.6321778297424316,5.250208854675293,6.149365425109863,2.080254554748535,0.0,6.457751750946045,5.499364376068115,0.0,4.42511510848999,0.0,2.632080554962158,8.006956100463867,0.0,0.05777847394347191,2.7422168254852295,0.0","2.5265274047851562,0.0,3.682751178741455,0.0,1.1936633586883545,0.0,2.5253350734710693,0.0,0.0,0.6766305565834045,0.0,0.0,0.0,0.0,0.0,0.0"
8907,276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276,1,2005-09-13-09.02.02.547260,2005-09-13 09:02:38.179463,"-5.692512512207031,3.966958522796631","2.197356939315796,0.0,0.0,2.7138099670410156,0.0,0.0,0.0,0.0,0.8298445343971252,0.0,2.96219801902771,0.0,2.986708164215088,0.0,0.0,5.0122528076171875","3.533602714538574,5.250320911407471,6.149456977844238,2.0803048610687256,0.0,6.457988262176514,5.499523162841797,0.0,4.425166606903076,0.0,2.632080554962158,8.007068634033203,0.0,0.0,2.7422335147857666,0.0","2.5265274047851562,0.0,3.6828343868255615,0.0,0.0,0.0,2.5253491401672363,0.0,0.0,0.6766305565834045,0.0,0.0,0.0,0.0,0.0,0.0"
2304,237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237 237,0,2005-06-23-15.44.41.610880,2005-06-23 15:44:51.891658,"2.938774585723877,-3.0888571739196777","0.0,2.7885074615478516,1.173937201499939,0.0,3.0250885486602783,1.6074501276016235,1.3665423393249512,0.7506938576698303,0.0,1.2690508365631104,0.0,2.2641990184783936,0.0,2.895052433013916,1.964705228805542,0.0","0.0,0.0,0.0,0.0,1.650896430015564,0.0,0.0,1.678644061088562,0.0,0.8374707698822021,0.0,0.0,2.7718396186828613,3.9461045265197754,0.0,3.0233230590820312","0.0,2.6878020763397217,0.0,0.0,4.612841606140137,1.7871743440628052,0.0,0.0,4.7675580978393555,0.0,2.1435370445251465,0.0,0.5116381645202637,1.4061764478683472,2.7495415210723877,2.624262809753418"
8648,259 167 259 167 259 167 259 167 259 167 259 167 45 45 259 167 259 167 45 45 259 259 167 167 259 167 259 167 259 167 259 167 259 167 259 167 45 45 45 45 259 167 259 167 45 45 259 167 259 167 259 167 259 167 45 45 259 167 259 167 45 45 259 167 259 259 167 167 259 167 259 167 259 167 259 259 167 167 259 167 259 167 259 167 45 45 259 167 45 45 259 167 259 259 167 167 259 167 259 167 259 167 259 167 259 167 259,0,2005-09-07-10.14.38.576736,2005-09-07 10:15:14.166680,"5.5019307136535645,-5.099462985992432","0.0,5.042914867401123,0.5682031512260437,0.0,6.48675012588501,3.006014108657837,3.2498202323913574,1.5018560886383057,0.0,2.6745951175689697,0.0,3.4306178092956543,0.0,4.570701599121094,3.5439908504486084,0.0","0.0,0.0,0.0,0.0,3.0102059841156006,0.0,0.0,3.3379135131835938,0.0,2.7687251567840576,0.0,0.0,5.742427349090576,6.168051242828369,0.0,5.306307792663574","0.0,5.069843292236328,0.0,0.0,5.730470180511475,3.2325382232666016,0.0,0.0,8.07302188873291,0.0,4.261425495147705,0.0,0.984550416469574,2.7231712341308594,5.315376281738281,4.001206398010254"
1765,208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208,0,2005-06-15-09.19.26.380270,2005-06-15 09:20:02.047241,"3.1223628520965576,-3.3220221996307373","0.0,2.937291145324707,1.105194091796875,0.0,3.4501614570617676,1.8112705945968628,1.5229873657226562,0.690284788608551,0.0,1.4309604167938232,0.0,2.333984375,0.0,3.2021563053131104,1.9433238506317139,0.0","0.0,0.0,0.0,0.0,1.6780779361724854,0.0,0.0,1.8392601013183594,0.0,0.7556156516075134,0.0,0.0,3.0128533840179443,4.407777786254883,0.0,3.3550660610198975","0.0,2.8456521034240723,0.0,0.0,4.8943891525268555,1.8340849876403809,0.0,0.0,5.219708442687988,0.0,2.4541664123535156,0.0,0.20374053716659546,1.5400516986846924,3.001727342605591,2.8834691047668457"
6031,259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 167 16,0,2005-08-04-11.42.52.784232,2005-08-04 11:43:11.671571,"5.85374641418457,-5.403162956237793","0.0,4.938602447509766,0.5588514804840088,0.0,6.3039231300354,3.006014108657837,3.2498202323913574,1.5743207931518555,0.0,3.170365571975708,0.0,4.067193984985352,0.0,5.165741920471191,3.4963929653167725,0.0","0.0,0.0,0.0,0.0,3.0102059841156006,0.0,0.0,3.3100533485412598,0.0,2.7687251567840576,0.0,0.0,5.486800193786621,7.159581184387207,0.0,5.30983829498291","0.0,4.940488815307617,0.0,0.0,7.7913665771484375,3.473792791366577,0.0,0.0,8.34330940246582,0.0,4.244561195373535,0.0,0.984550416469574,3.7591476440429688,6.146097660064697,3.964498281478882"
8225,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 218,0,2005-09-02-06.35.41.850059,2005-09-02 06:36:11.787939,"5.5971527099609375,-5.1598968505859375","0.0,5.020782947540283,0.4344700574874878,0.0,6.580574989318848,3.141472101211548,3.475407361984253,1.4734838008880615,0.0,2.672245979309082,0.0,3.357311964035034,0.0,4.506019592285156,3.5538361072540283,0.0","0.0,0.0,0.0,0.0,3.0382277965545654,0.0,0.0,3.5658035278320312,0.0,2.8303089141845703,0.0,0.0,5.776688575744629,6.105904579162598,0.0,5.240044593811035","0.0,5.18401575088501,0.0,0.0,5.726758003234863,3.2025704383850098,0.0,0.0,8.273340225219727,0.0,4.3828558921813965,0.0,0.9364176392555237,2.816413402557373,5.385861396789551,4.155723571777344"
8407,118 118 118 118 118 118 118 118,0,2005-09-03-06.34.16.294796,2005-09-03 06:34:16.555421,"6.015870094299316,-5.537240028381348","0.0,4.994629859924316,0.5726571679115295,0.0,6.580574989318848,3.141472101211548,3.475407361984253,1.689831018447876,0.0,3.1787497997283936,0.0,4.0311598777771,0.0,5.258883953094482,3.472972869873047,0.0","0.0,0.0,0.0,0.0,3.0382277965545654,0.0,0.0,3.5658035278320312,0.0,2.8303089141845703,0.0,0.0,5.776688575744629,7.261617183685303,0.0,5.605162143707275","0.0,5.130070686340332,0.0,0.0,7.771749496459961,3.6175143718719482,0.0,0.0,8.564695358276367,0.0,4.3828558921813965,0.0,0.9364176392555237,3.7104809284210205,6.2774248123168945,4.155723571777344"
8334,118 118 118 118 118 118 118 118,0,2005-09-03-05.11.30.426758,2005-09-03 05:11:30.708992,"6.015870094299316,-5.537240028381348","0.0,4.994629859924316,0.5726571679115295,0.0,6.580574989318848,3.141472101211548,3.475407361984253,1.689831018447876,0.0,3.1787497997283936,0.0,4.0311598777771,0.0,5.258883953094482,3.472972869873047,0.0","0.0,0.0,0.0,0.0,3.0382277965545654,0.0,0.0,3.5658035278320312,0.0,2.8303089141845703,0.0,0.0,5.776688575744629,7.261617183685303,0.0,5.605162143707275","0.0,5.130070686340332,0.0,0.0,7.771749496459961,3.6175143718719482,0.0,0.0,8.564695358276367,0.0,4.3828558921813965,0.0,0.9364176392555237,3.7104809284210205,6.2774248123168945,4.155723571777344"
6914,45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45,0,2005-08-10-16.39.01.049847,2005-08-10 16:39:13.547484,"5.9869513511657715,-5.501756191253662","0.0,4.915109634399414,0.7115163207054138,0.0,6.408228874206543,3.02235746383667,3.422508716583252,1.737989068031311,0.0,3.208621025085449,0.0,4.181703567504883,0.0,5.251862049102783,3.523135185241699,0.0","0.0,0.0,0.0,0.0,3.0332748889923096,0.0,0.0,3.419536828994751,0.0,2.90078067779541,0.0,0.0,5.68722677230835,7.28446102142334,0.0,5.57226037979126","0.0,5.036093711853027,0.0,0.0,7.9081950187683105,3.6668758392333984,0.0,0.0,8.528940200805664,0.0,4.1885175704956055,0.0,1.0837210416793823,3.738948345184326,6.200078010559082,4.030024528503418"
2020,314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314,0,2005-06-18-20.27.50.254892,2005-06-18 20:28:25.864730,"4.400476932525635,-4.220832824707031","0.0,4.274021625518799,0.6995211839675903,0.0,5.131163597106934,2.3255600929260254,2.376051664352417,1.1482534408569336,0.0,2.107944965362549,0.0,2.7882118225097656,0.0,3.565260887145996,3.1348814964294434,0.0","0.0,0.0,0.0,0.0,2.3680968284606934,0.0,0.0,2.638528823852539,0.0,1.7618112564086914,0.0,0.0,4.618852138519287,5.034881591796875,0.0,4.346307754516602","0.0,4.0253005027771,0.0,0.0,4.894731521606445,2.7680678367614746,0.0,0.0,6.834686279296875,0.0,3.3085670471191406,0.0,0.8785402774810791,2.115043878555298,4.5100321769714355,3.3641514778137207"
8405,118 118 118 118 118 118 118 118,0,2005-09-03-06.32.03.215727,2005-09-03 06:32:03.490735,"6.015870094299316,-5.537240028381348","0.0,4.994629859924316,0.5726571679115295,0.0,6.580574989318848,3.141472101211548,3.475407361984253,1.689831018447876,0.0,3.1787497997283936,0.0,4.0311598777771,0.0,5.258883953094482,3.472972869873047,0.0","0.0,0.0,0.0,0.0,3.0382277965545654,0.0,0.0,3.5658035278320312,0.0,2.8303089141845703,0.0,0.0,5.776688575744629,7.261617183685303,0.0,5.605162143707275","0.0,5.130070686340332,0.0,0.0,7.771749496459961,3.6175143718719482,0.0,0.0,8.564695358276367,0.0,4.3828558921813965,0.0,0.9364176392555237,3.7104809284210205,6.2774248123168945,4.155723571777344"
8255,94 314 191 218 94 314 314 314 314 314 314 314 314 314 314 314 191,0,2005-09-02-13.15.15.541563,2005-09-02 13:15:22.638078,"5.998167991638184,-5.554941177368164","0.0,4.943670749664307,0.8578194975852966,0.0,6.426170349121094,3.202704906463623,3.3373124599456787,1.6644786596298218,0.0,3.332543134689331,0.0,4.079108715057373,0.0,5.498467445373535,3.5244340896606445,0.0","0.0,0.0,0.0,0.0,3.213573932647705,0.0,0.0,3.394744873046875,0.0,2.8465561866760254,0.0,0.0,5.684762954711914,7.434804439544678,0.0,5.619629859924316","0.0,4.908445358276367,0.0,0.003552529029548168,8.03962516784668,3.460792303085327,0.0,0.0,8.519810676574707,0.0,4.190101623535156,0.0,1.1484482288360596,3.701115131378174,6.254965782165527,4.108644008636475"
5965,259 167 259 167 259 167 259 167 259 167 259 259 167 167 259 167 259 167 259 167 259 167 259 167 259 259 167 167 259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 167 45 45 259 167 45 45 259 167 45 45 45 45 259 259 259 167 167 167 259 167 259 167 45 45 45 45 45 45 259 167 45 45 259 167 259 259 167 167 259 167 259 167 259 167 45 45 259 167 45 45 45 45 45 45 45 45 45 45 259 167 45 45 16,0,2005-08-04-10.40.26.486495,2005-08-04 10:40:50.950072,"5.457927227020264,-5.051319599151611","0.0,4.938602447509766,0.5732824802398682,0.0,6.308095932006836,3.006014108657837,3.2498202323913574,1.5046378374099731,0.0,2.6167943477630615,0.0,3.3459558486938477,0.0,4.413445472717285,3.503244161605835,0.0","0.0,0.0,0.0,0.0,3.0102059841156006,0.0,0.0,3.3167614936828613,0.0,2.7687251567840576,0.0,0.0,5.667074203491211,6.078149318695068,0.0,5.206005096435547","0.0,5.008393287658691,0.0,0.0,5.703817367553711,3.2003257274627686,0.0,0.0,7.959737300872803,0.0,4.244561195373535,0.0,0.984550416469574,2.771554708480835,5.282489776611328,4.011216640472412"
